batch_idx,batch_mse
1,0.5777560472488403
2,0.603903591632843
3,0.6192513108253479
4,0.5965540409088135
5,0.6014722585678101
6,0.6004126071929932
7,0.608011782169342
8,0.596011757850647
9,0.5989259481430054
10,0.5955806970596313
11,0.6164048910140991
12,0.6096416115760803
13,0.5870860815048218
14,0.5740758180618286
15,0.5890166163444519
16,0.6048151850700378
17,0.5959528684616089
18,0.5980002880096436
19,0.5747033357620239
20,0.6099367141723633
21,0.5992175340652466
22,0.5929657220840454
23,0.5917330384254456
24,0.5956853628158569
25,0.5749425292015076
26,0.5909378528594971
27,0.5896782875061035
28,0.5845312476158142
29,0.5888031125068665
30,0.5966289043426514
31,0.5837398171424866
32,0.5905319452285767
33,0.5933222770690918
34,0.6116414666175842
35,0.5886364579200745
36,0.6078006625175476
37,0.604080080986023
38,0.5937451720237732
39,0.5990515351295471
40,0.5956458449363708
41,0.5813941955566406
42,0.5905038118362427
43,0.5843061208724976
44,0.582141101360321
45,0.590959370136261
46,0.5876902937889099
47,0.6173905730247498
48,0.5979013442993164
49,0.5913138389587402
50,0.5880997776985168
51,0.6089123487472534
52,0.5937588214874268
53,0.5969917178153992
54,0.576977014541626
55,0.5825539827346802
56,0.5978653430938721
57,0.5999399423599243
58,0.5975337028503418
59,0.6051594614982605
60,0.5846964120864868
61,0.5948692560195923
62,0.5845933556556702
63,0.5983099937438965
64,0.5989559292793274
65,0.6097254157066345
66,0.5718909502029419
67,0.5805636644363403
68,0.6001086831092834
69,0.5911477208137512
70,0.5995523929595947
71,0.5792705416679382
72,0.6125810146331787
73,0.5821869373321533
74,0.587157666683197
75,0.6057946681976318
76,0.6002105474472046
77,0.5897603631019592
78,0.6048855781555176
79,0.582939088344574
80,0.6156168580055237
81,0.5926214456558228
82,0.5771541595458984
83,0.5991871356964111
84,0.6013616323471069
85,0.5954552888870239
86,0.6047040820121765
87,0.6112545728683472
88,0.5848588943481445
89,0.5736955404281616
90,0.5935054421424866
91,0.5928504467010498
92,0.6126574277877808
93,0.5978235006332397
94,0.593809962272644
95,0.5805773735046387
96,0.5879025459289551
97,0.6159420609474182
98,0.6131927967071533
99,0.613516092300415
100,0.5933774709701538
101,0.6087311506271362
102,0.588347852230072
103,0.596616804599762
104,0.5995467901229858
105,0.5966790318489075
106,0.5910534262657166
107,0.6141190528869629
108,0.5931635499000549
109,0.5993893146514893
110,0.6050692796707153
111,0.5972813367843628
112,0.5791886448860168
113,0.5948447585105896
114,0.6056762933731079
115,0.5816500782966614
116,0.5956093072891235
117,0.5875675678253174
118,0.5837915539741516
119,0.6008223295211792
120,0.5845557451248169
121,0.5783412456512451
122,0.582655131816864
123,0.5946191549301147
124,0.5977842211723328
125,0.6004523634910583
126,0.602066695690155
127,0.5901223421096802
128,0.5895513296127319
129,0.5954951047897339
130,0.5886009931564331
131,0.5903960466384888
132,0.6039172410964966
133,0.5928932428359985
134,0.591922402381897
135,0.5983296036720276
136,0.5868093967437744
137,0.6261509656906128
138,0.6059459447860718
139,0.6035078167915344
140,0.5904290080070496
141,0.5915192365646362
142,0.5985708236694336
143,0.586166501045227
144,0.594897449016571
145,0.6035878658294678
146,0.5985732674598694
147,0.5908663272857666
148,0.5828351974487305
149,0.6184567213058472
150,0.6137734651565552
151,0.6097598671913147
152,0.617509663105011
153,0.5851941704750061
154,0.5852977633476257
155,0.6174623966217041
156,0.5818930268287659
157,0.5865373015403748
158,0.6044963598251343
159,0.5872848629951477
160,0.6059127449989319
161,0.5816884636878967
162,0.5762321352958679
163,0.5820856094360352
164,0.5895707607269287
165,0.593726396560669
166,0.5970133543014526
